City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
276,tralee,52.2704,-9.7026,10.09,81,81,5.2,IE
277,casper,42.8666,-106.3131,23.33,17,0,2.57,US
278,port augusta,-32.5,137.7667,17.98,49,0,1.34,AU
279,bawku,11.0616,-0.2417,32.38,33,96,3.84,GH
280,tarakan,3.3,117.6333,30.72,74,40,2.06,ID
281,happy valley-goose bay,53.3168,-60.3315,3.17,87,100,7.72,CA
282,hirara,24.8,125.2833,27.92,83,75,7.2,JP
283,crane,31.3974,-102.3501,23.81,57,93,7.59,US
284,plastun,44.7561,136.2939,22.12,35,100,3.31,RU
285,lisala,2.15,21.5167,20.82,98,99,0.44,CD
286,villa ojo de agua,-29.5,-63.6938,13.09,41,99,4.47,AR
287,egilsstadir,65.2653,-14.3948,2.95,75,40,4.63,IS
288,zaragoza,41.6561,-0.8773,17.7,62,0,5.14,ES
289,saipan,15.1355,145.701,31.39,100,40,6.69,MP
290,ribeira brava,32.65,-17.0667,19.35,67,100,2.08,PT
291,kavaratti,10.5669,72.642,28.7,65,46,2.59,IN
292,kapuskasing,49.4169,-82.4331,6.05,81,75,1.54,CA
293,fale old settlement,-9.3852,-171.2468,28.54,75,85,5.65,TK
294,high river,50.5834,-113.8687,22.83,50,91,0.82,CA
295,huanta,-12.9333,-74.25,14.98,69,100,1.91,PE
296,arraial do cabo,-22.9661,-42.0278,17.98,100,0,0.0,BR
297,cesky krumlov,48.8109,14.3152,6.88,100,6,0.38,CZ
298,dong ha,16.8163,107.1003,32.82,52,88,1.51,VN
299,ghanaur,30.3322,76.6072,22.41,63,0,3.8,IN
300,nelson,-41.2833,173.2833,17.38,99,100,0.45,NZ
301,pemba,-12.974,40.5178,21.45,83,0,5.83,MZ
302,kupjansk,49.7209,37.5998,9.3,82,58,2.67,UA
303,sur,22.5667,59.5289,26.7,81,3,0.96,OM
304,mcminnville,45.2101,-123.1987,21.14,55,0,5.66,US
305,qa'en,33.7265,59.1844,14.5,56,0,2.16,IR
306,palikir - national government center,6.9248,158.1611,25.47,100,100,2.57,FM
307,thurso,58.5927,-3.5259,8.14,92,100,7.59,GB
308,tyukhtet,56.5389,89.3011,7.12,59,95,1.19,RU
309,portland,45.5234,-122.6762,22.02,50,100,4.63,US
310,agat village,13.3886,144.6585,31.52,68,20,6.17,GU
311,labytnangi,66.6572,66.4183,-0.06,98,100,2.16,RU
312,vorkuta,67.5,64.0,-1.03,94,100,1.53,RU
313,flying fish cove,-10.4217,105.6791,28.82,83,75,3.6,CX
314,mandera,3.9366,41.867,26.28,73,98,4.37,KE
315,dubti,11.7361,41.0853,30.09,53,100,4.92,ET
316,salalah,17.0151,54.0924,29.05,70,0,1.03,OM
317,prado,-17.3411,-39.2208,24.11,87,0,2.81,BR
318,ormara,25.2088,64.6357,26.71,67,0,1.59,PK
319,guanare,9.0418,-69.7421,23.01,78,3,1.54,VE
320,brookings,44.3114,-96.7984,21.0,26,0,2.06,US
321,fort mcmurray,56.7268,-111.381,28.77,18,0,5.66,CA
322,huazhou,21.6333,110.5833,28.77,69,40,6.82,CN
323,xinyuan,37.3,99.0,0.42,93,100,2.14,CN
324,fonte boa,-2.4959,-66.2662,23.27,97,15,1.25,BR
325,strunino,56.3833,38.5667,1.89,78,2,2.08,RU
326,valparaiso,-33.0393,-71.6273,10.8,93,0,2.57,CL
327,princeville,45.7668,-61.2985,3.53,95,100,2.06,CA
328,mirnyy,62.5353,113.9611,1.17,95,99,4.87,RU
329,ocean pines,38.3954,-75.1557,11.08,67,100,2.57,US
330,wenling,28.3669,121.36,21.12,93,100,4.54,CN
331,mandan,46.8267,-100.8896,23.99,30,0,4.12,US
332,oriximina,-1.7656,-55.8661,23.81,97,100,1.75,BR
333,takoradi,4.8845,-1.7554,26.93,83,46,2.79,GH
334,navlya,52.8281,34.4989,6.08,95,100,1.63,RU
335,kodinsk,58.6881,99.1844,4.61,74,100,1.77,RU
336,vigan,17.5747,120.3869,30.52,92,1,2.65,PH
